Path [0001]	:	['JAK', 'BKK', 'HKG', 'TPE', 'TOK', 'KOR', 'PEK']
Path [0077]	:	['JAK', 'BKK', 'KOR', 'HKG', 'PEK', 'TPE', 'TOK']
Sentiment	:	[3.029, -1.453, -1.768, -1.68, 2.778, -1.927, -1.449]

Path [0078]	:	['JAK', 'BKK', 'KOR', 'HKG', 'PEK', 'TOK', 'TPE']
Sentiment	:	[3.029, -1.453, -1.768, -1.68, 2.778, -1.449, -1.927]

Path [0079]	:	['JAK', 'BKK', 'KOR', 'TPE', 'HKG', 'TOK', 'PEK']
Sentiment	:	[3.029, -1.453, -1.768, -1.927, -1.68, -1.449, 2.778]

Path [0080]	:	['JAK', 'BKK', 'KOR', 'TPE', 'HKG', 'PEK', 'TOK']
Sentiment	:	[3.029, -1.453, -1.768, -1.927, -1.68, 2.778, -1.449]

Path [0081]	:	['JAK', 'BKK', 'KOR', 'TPE', 'TOK', 'HKG', 'PEK']
Sentiment	:	[3.029, -1.453, -1.768, -1.927, -1.449, -1.68, 2.778]

Path [0082]	:	['JAK', 'BKK', 'KOR', 'TPE', 'TOK', 'PEK', 'HKG']
Sentiment	:	[3.029, -1.453, -1.768, -1.927, -1.449, 2.778, -1.68]

Path [0083]	:	['JAK', 'BKK', 'KOR', 'TPE', 'PEK', 'HKG', 'TOK']
Sentiment	:	[3.029, -1.453, -1.768, -1.927, 2.778, -1.68, -1.449]

Path [0084]	:	['JAK', 'BKK', 'KOR', 'TPE', 'PEK', 'TOK', 'HKG']
Sentiment	:	[3.029, -1.453, -1.768, -1.927, 2.778, -1.449, -1.68]

Path [0085]	:	['JAK', 'BKK', 'KOR', 'TOK', 'HKG', 'TPE', 'PEK']
Sentiment	:	[3.029, -1.453, -1.768, -1.449, -1.68, -1.927, 2.778]

Path [0086]	:	['JAK', 'BKK', 'KOR', 'TOK', 'HKG', 'PEK', 'TPE']
Sentiment	:	[3.029, -1.453, -1.768, -1.449, -1.68, 2.778, -1.927]

Path [0087]	:	['JAK', 'BKK', 'KOR', 'TOK', 'TPE', 'HKG', 'PEK']
Sentiment	:	[3.029, -1.453, -1.768, -1.449, -1.927, -1.68, 2.778]

Path [0088]	:	['JAK', 'BKK', 'KOR', 'TOK', 'TPE', 'PEK', 'HKG']
Sentiment	:	[3.029, -1.453, -1.768, -1.449, -1.927, 2.778, -1.68]

Path [0089]	:	['JAK', 'BKK', 'KOR', 'TOK', 'PEK', 'HKG', 'TPE']
Sentiment	:	[3.029, -1.453, -1.768, -1.449, 2.778, -1.68, -1.927]

Path [0090]	:	['JAK', 'BKK', 'KOR', 'TOK', 'PEK', 'TPE', 'HKG']
Sentiment	:	[3.029, -1.453, -1.768, -1.449, 2.778, -1.927, -1.68]

Path [0091]	:	['JAK', 'BKK', 'KOR', 'PEK', 'HKG', 'TPE', 'TOK']
Sentiment	:	[3.029, -1.453, -1.768, 2.778, -1.68, -1.927, -1.449]

Path [0092]	:	['JAK', 'BKK', 'KOR', 'PEK', 'HKG', 'TOK', 'TPE']
Sentiment	:	[3.029, -1.453, -1.768, 2.778, -1.68, -1.449, -1.927]

Path [0093]	:	['JAK', 'BKK', 'KOR', 'PEK', 'TPE', 'HKG', 'TOK']
Sentiment	:	[3.029, -1.453, -1.768, 2.778, -1.927, -1.68, -1.449]

Path [0094]	:	['JAK', 'BKK', 'KOR', 'PEK', 'TPE', 'TOK', 'HKG']
Sentiment	:	[3.029, -1.453, -1.768, 2.778, -1.927, -1.449, -1.68]

Path [0095]	:	['JAK', 'BKK', 'KOR', 'PEK', 'TOK', 'HKG', 'TPE']
Sentiment	:	[3.029, -1.453, -1.768, 2.778, -1.449, -1.68, -1.927]

Path [0096]	:	['JAK', 'BKK', 'KOR', 'PEK', 'TOK', 'TPE', 'HKG']
Sentiment	:	[3.029, -1.453, -1.768, 2.778, -1.449, -1.927, -1.68]

Path [0097]	:	['JAK', 'BKK', 'PEK', 'HKG', 'TPE', 'TOK', 'KOR']
Sentiment	:	[3.029, -1.453, 2.778, -1.68, -1.927, -1.449, -1.768]

Path [0098]	:	['JAK', 'BKK', 'PEK', 'HKG', 'TPE', 'KOR', 'TOK']
Sentiment	:	[3.029, -1.453, 2.778, -1.68, -1.927, -1.768, -1.449]

Path [0099]	:	['JAK', 'BKK', 'PEK', 'HKG', 'TOK', 'TPE', 'KOR']
Sentiment	:	[3.029, -1.453, 2.778, -1.68, -1.449, -1.927, -1.768]

Path [0100]	:	['JAK', 'BKK', 'PEK', 'HKG', 'TOK', 'KOR', 'TPE']
Sentiment	:	[3.029, -1.453, 2.778, -1.68, -1.449, -1.768, -1.927]

Path [0101]	:	['JAK', 'BKK', 'PEK', 'HKG', 'KOR', 'TPE', 'TOK']
Sentiment	:	[3.029, -1.453, 2.778, -1.68, -1.768, -1.927, -1.449]

Path [0102]	:	['JAK', 'BKK', 'PEK', 'HKG', 'KOR', 'TOK', 'TPE']
Sentiment	:	[3.029, -1.453, 2.778, -1.68, -1.768, -1.449, -1.927]

Path [0103]	:	['JAK', 'BKK', 'PEK', 'TPE', 'HKG', 'TOK', 'KOR']
Sentiment	:	[3.029, -1.453, 2.778, -1.927, -1.68, -1.449, -1.768]

Path [0104]	:	['JAK', 'BKK', 'PEK', 'TPE', 'HKG', 'KOR', 'TOK']
Sentiment	:	[3.029, -1.453, 2.778, -1.927, -1.68, -1.768, -1.449]

Path [0105]	:	['JAK', 'BKK', 'PEK', 'TPE', 'TOK', 'HKG', 'KOR']
