Path [0169]	:	['KUL', 'JAK', 'HKG', 'TOK', 'BKK', 'TPE', 'KOR', 'PEK', 'KUL']
Distance	:	21047.41684666586 km

Path [0170]	:	['KUL', 'JAK', 'HKG', 'TOK', 'BKK', 'TPE', 'PEK', 'KOR', 'KUL']
Distance	:	21516.8422754482 km

Path [0171]	:	['KUL', 'JAK', 'HKG', 'TOK', 'BKK', 'KOR', 'TPE', 'PEK', 'KUL']
Distance	:	22980.348423953437 km

Path [0172]	:	['KUL', 'JAK', 'HKG', 'TOK', 'BKK', 'KOR', 'PEK', 'TPE', 'KUL']
Distance	:	21329.45528214536 km

Path [0173]	:	['KUL', 'JAK', 'HKG', 'TOK', 'BKK', 'PEK', 'TPE', 'KOR', 'KUL']
Distance	:	22830.242256263165 km

Path [0174]	:	['KUL', 'JAK', 'HKG', 'TOK', 'BKK', 'PEK', 'KOR', 'TPE', 'KUL']
Distance	:	20709.923685672755 km

Path [0175]	:	['KUL', 'JAK', 'HKG', 'TOK', 'TPE', 'BKK', 'KOR', 'PEK', 'KUL']
Distance	:	20784.181684894793 km

